,0,1,2,3,4
0,./Rideo/Ses01F_impro01_F000.wav,1,1,neu,Train
1,./Rideo/Ses01F_impro01_F001.wav,1,1,neu,Train
2,./Rideo/Ses01F_impro01_F002.wav,1,1,neu,Train
3,./Rideo/Ses01F_impro01_F005.wav,1,1,neu,Train
4,./Rideo/Ses01F_impro01_F012.wav,1,4,ang,Test
5,./Rideo/Ses01F_impro01_F014.wav,1,1,neu,Train
6,./Rideo/Ses01F_impro01_M011.wav,1,4,ang,Test
7,./Rideo/Ses01F_impro01_M013.wav,1,4,ang,Train
8,./Rideo/Ses01F_impro02_F000.wav,1,3,sad,Train
9,./Rideo/Ses01F_impro02_F001.wav,1,3,sad,Train
10,./Rideo/Ses01F_impro02_F002.wav,1,3,sad,Train
11,./Rideo/Ses01F_impro02_F003.wav,1,1,neu,Train
12,./Rideo/Ses01F_impro02_F004.wav,1,3,sad,Train
13,./Rideo/Ses01F_impro02_F005.wav,1,3,sad,Train
14,./Rideo/Ses01F_impro02_F006.wav,1,1,neu,Val
15,./Rideo/Ses01F_impro02_F008.wav,1,3,sad,Train
16,./Rideo/Ses01F_impro02_F010.wav,1,3,sad,Val
17,./Rideo/Ses01F_impro02_F012.wav,1,3,sad,Train
18,./Rideo/Ses01F_impro02_F013.wav,1,3,sad,Train
19,./Rideo/Ses01F_impro02_F014.wav,1,3,sad,Train
20,./Rideo/Ses01F_impro02_F015.wav,1,3,sad,Test
21,./Rideo/Ses01F_impro02_F016.wav,1,1,neu,Val
22,./Rideo/Ses01F_impro02_F017.wav,1,3,sad,Test
23,./Rideo/Ses01F_impro02_F018.wav,1,1,neu,Test
24,./Rideo/Ses01F_impro02_F019.wav,1,3,sad,Train
25,./Rideo/Ses01F_impro02_F020.wav,1,3,sad,Test
26,./Rideo/Ses01F_impro02_M001.wav,1,3,sad,Val
27,./Rideo/Ses01F_impro02_M005.wav,1,3,sad,Train
28,./Rideo/Ses01F_impro02_M009.wav,1,3,sad,Train
29,./Rideo/Ses01F_impro02_M010.wav,1,3,sad,Train
30,./Rideo/Ses01F_impro02_M011.wav,1,3,sad,Train
31,./Rideo/Ses01F_impro02_M012.wav,1,1,neu,Val
32,./Rideo/Ses01F_impro02_M013.wav,1,3,sad,Train
33,./Rideo/Ses01F_impro02_M014.wav,1,3,sad,Train
34,./Rideo/Ses01F_impro02_M015.wav,1,1,neu,Train
35,./Rideo/Ses01F_impro03_F000.wav,1,9,exc,Train
36,./Rideo/Ses01F_impro03_F001.wav,1,9,exc,Test
37,./Rideo/Ses01F_impro03_F002.wav,1,9,exc,Train
38,./Rideo/Ses01F_impro03_F004.wav,1,9,exc,Train
39,./Rideo/Ses01F_impro03_F005.wav,1,9,exc,Train
40,./Rideo/Ses01F_impro03_F006.wav,1,9,exc,Train
41,./Rideo/Ses01F_impro03_F008.wav,1,9,exc,Test
42,./Rideo/Ses01F_impro03_F009.wav,1,9,exc,Train
43,./Rideo/Ses01F_impro03_F010.wav,1,9,exc,Train
44,./Rideo/Ses01F_impro03_F012.wav,1,9,exc,Train
45,./Rideo/Ses01F_impro03_F013.wav,1,9,exc,Train
46,./Rideo/Ses01F_impro03_F015.wav,1,9,exc,Train
47,./Rideo/Ses01F_impro03_F016.wav,1,9,exc,Train
48,./Rideo/Ses01F_impro03_F017.wav,1,1,neu,Train
